forum_id	forum_title	forum_keywords
100	Disaster Preparedness Help	Disaster Preparation, MedHelp, Forum, Prepare, Emergency Preparation	MedHelp's Disaster Preparedness Help Forum. This forum is for help, questions and support regarding Disaster Preparedness
1011	Chronic Obstructive Pulmonary Disease (COPD) Help	copd, Chronic Obstructive Pulmonary Disease	MedHelp's Chronic Obstructive Pulmonary Disease (COPD) Help Forum. This forum is for help, questions and support regarding Chronic Obstructive Pulmonary Disease (COPD)
1022	Acupuncture and Traditional Chinese Medicine Help	None	MedHelp's Acupuncture and Traditional Chinese Medicine Help Forum. This forum is for help, questions and support regarding Acupuncture and Traditional Chinese Medicine
1037	Playgroup: Babies 0	None	MedHelp's Playgroup: Babies 0-6 Months Help Forum. This forum is for help, questions and support regarding Playgroup: Babies 0-6 Months
1038	Playgroup: Babies 6 Months	None	MedHelp's Playgroup: Babies 6 Months - 1 Year Help Forum. This forum is for help, questions and support regarding Playgroup: Babies 6 Months - 1 Year
1039	First	None	MedHelp's First-Time Parents (with 0-6 Month-Old Baby)  Help Forum. This forum is for help, questions and support regarding First-Time Parents (with 0-6 Month-Old Baby)
103	Gynecology / Women's Health Help	Gynecology, Cervical Disorders, Colposcopy, Cramps, Cystitis, Fallopian Tube Disorders, Menstruation,  Ovarian Disorders, PAP Test, Pelvic Exam, PID, PMS, Surgery, Tests, Ultrasound, Uterine Disorders, Vaginal Disorders, MedHelp, Forum, Communities, Docto	MedHelp's Gynecology / Women's Health Help Forum. This forum is for help, questions and support regarding Gynecology / Women's Health
1049	Newborn Baby Photo Help	None	MedHelp's Newborn Baby Photo Help Forum. This forum is for help, questions and support regarding Newborn Baby Photo
104	Pregnancy Help	Alcohol/Drugs, Bleeding, Caesarean Section, Childbirth, Diabetes, Depression, Fetal Monitoring, Genetic Testing, Hormonal Changes, Labor, Lamaze, Morning Sickness, Nutrition, Parenting, Prenatal Care, Weight gain, MedHelp, Forum, Communities	MedHelp's Pregnancy Help Forum. This forum is for help, questions and support regarding Pregnancy
1058	Insomniacs Unite	None	MedHelp's Insomniacs Unite Help Forum. This forum is for help, questions and support regarding Insomniacs Unite
1076	Pregnancy: Am I Pregnant Help	None	MedHelp's Pregnancy: Am I Pregnant Help Forum. This forum is for help, questions and support regarding Pregnancy: Am I Pregnant
1077	Hysterectomy  Help	None	MedHelp's Hysterectomy  Help Forum. This forum is for help, questions and support regarding Hysterectomy
107	Digestive Disorders / Gastroenterology Help	Acid Reflux, GERD, Heartburn, Indigestion, Acid Reflex, Barretts Esophagus, Colitis, Bowel Disorders, Crohn's Disease, Diverticulitis, Diverticulosis, Digestive Disorders, Irritable Bowel Syndrome, Stomach Pain, MedHelp, Forums, Communities	MedHelp's Digestive Disorders / Gastroenterology Help Forum. This forum is for help, questions and support regarding Digestive Disorders / Gastroenterology
1084	Pediatric Tourette Syndrome Help	None	MedHelp's Pediatric Tourette Syndrome Help Forum. This forum is for help, questions and support regarding Pediatric Tourette Syndrome
1085	Pelvic Organ Prolapse (POP) Help	None	MedHelp's Pelvic Organ Prolapse (POP) Help Forum. This forum is for help, questions and support regarding Pelvic Organ Prolapse (POP)
108	Sleep Disorders Help	apnea, childrenâs sleep issues, jet lag, insomnia, narcolepsy, restless leg syndrome, snoring, sleep disorder, ambien, can't sleep, MedHelp, support, forum, communities	MedHelp's Sleep Disorders Help Forum. This forum is for help, questions and support regarding Sleep Disorders
109	Success Stories Help	MedHelp, forum, Success Story	MedHelp's Success Stories Help Forum. This forum is for help, questions and support regarding Success Stories
110	Improve MedHelp Suggestions Help	None	MedHelp's Improve MedHelp Suggestions Help Forum. This forum is for help, questions and support regarding Improve MedHelp Suggestions
1122	Physical Therapy Help	None	MedHelp's Physical Therapy Help Forum. This forum is for help, questions and support regarding Physical Therapy
1124	Vaginal Mesh	None	MedHelp's Vaginal Mesh - Surgical Repair Help Forum. This forum is for help, questions and support regarding Vaginal Mesh - Surgical Repair
112	Animal Health	veterinarian, pets, pet health, dogs, cats, sick pet, birds, small animals, MedHelp, Forum, Vet, Communities	MedHelp's Animal Health - General Help Forum. This forum is for help, questions and support regarding Animal Health - General
114	Heart Disease Help	Angina, Angioplasty, Arrhythmia, Bypass Surgery, Cardiomyopathy, Coronary Artery Disease, Defibrillator, Heart Attack, Heart Disease, High Blood Pressure, Mitral Valve, Pacemaker, PAD, Stenosis, Stress Tests, Chest Pain, Ask a Doctor,  Forums, MedHelp	MedHelp's Heart Disease Help Forum. This forum is for help, questions and support regarding Heart Disease
115	Dermatology Help	skin rashes, acne, birthmarks, skin infections, skin care, Skin, Bumps, Rashes, Irritation, Dermatology, Forums, Communities, Ask a Doctor, Doctor, Information, MedHelp, Skin Cancer, Melanoma, rosasea	MedHelp's Dermatology Help Forum. This forum is for help, questions and support regarding Dermatology
1164	Pelvic Organ Prolapse (POP) Help	None	MedHelp's Pelvic Organ Prolapse (POP) Help Forum. This forum is for help, questions and support regarding Pelvic Organ Prolapse (POP)
116	STDs Help	Chlamydia, Crabs, Gonorrhea, Hepatitis (viral), Herpes, HPV, Molluscum Contagiosum, PID, Rectal Infections, Syphilis,  Trichomonas, Warts, Yeast Infection, Lice, HHH, Hunter Handsfield, Hunter, STDs, STD, Sexually Transmitted Diseases, Forum, STD Forum, M	MedHelp's STDs Help Forum. This forum is for help, questions and support regarding STDs
1176	Addiction: Living with an Addict Help	None	MedHelp's Addiction: Living with an Addict Help Forum. This forum is for help, questions and support regarding Addiction: Living with an Addict
1178	Lymphedema Help	None	MedHelp's Lymphedema Help Forum. This forum is for help, questions and support regarding Lymphedema
117	HIV	HIV, Safe Sex, HIV Infection, HHH, Hunter Handsfield, Window Period, Anxiety, unprotected sex, Ask a Doctor, MedHelp, HIV Forum, Forum, AIDs, Community, Doctor, Doctor Handsfield	MedHelp's HIV - Prevention Help Forum. This forum is for help, questions and support regarding HIV - Prevention
1188	A place to Relax	None	MedHelp's A place to Relax Help Forum. This forum is for help, questions and support regarding A place to Relax
1189	Bone Marrow Transplant Help	None	MedHelp's Bone Marrow Transplant Help Forum. This forum is for help, questions and support regarding Bone Marrow Transplant
1197	Brain & Body Fitness Help	fitness, neuroscience, motor networks, kinesiology, mental health, sensory networks, neuromuscular, joints, orthopedics, biomechanics, psychology, neuropsychology, neuroplasticity, therapy, physical therapy, rehabilitation, parkinson, multiple sclerosis,	MedHelp's Brain & Body Fitness Help Forum. This forum is for help, questions and support regarding Brain & Body Fitness
1199	Thyroid Cancer Help	None	MedHelp's Thyroid Cancer Help Forum. This forum is for help, questions and support regarding Thyroid Cancer
119	Sexuality & Relationships Help	Abstinence, Arousal Problems, Birth Control, Cohabitation, Commitment, Communication, Couples Counseling, Lack of Desire, Sexual Technique, Pepper Schwartz, Pepper, MedHelp, Forum, Community, Sex, Relationships	MedHelp's Sexuality & Relationships Help Forum. This forum is for help, questions and support regarding Sexuality & Relationships
11	Cosmetic Surgery Help	bariatric surgery reconstruction, breast augmentation, chemical peels, cosmetic reconstructive surgery, face lift, nose reconstruction, tummy tuck, Cosmetic Surgery, MedHelp, Forum, Communities	MedHelp's Cosmetic Surgery Help Forum. This forum is for help, questions and support regarding Cosmetic Surgery
1204	Urinary Tract Infection Help	None	MedHelp's Urinary Tract Infection Help Forum. This forum is for help, questions and support regarding Urinary Tract Infection
1205	Hernia Help	None	MedHelp's Hernia Help Forum. This forum is for help, questions and support regarding Hernia
1206	Vitamins & Supplements Help	None	MedHelp's Vitamins & Supplements Help Forum. This forum is for help, questions and support regarding Vitamins & Supplements
1207	Kidney Stones Help	None	MedHelp's Kidney Stones Help Forum. This forum is for help, questions and support regarding Kidney Stones
1208	Gallbladder Help	None	MedHelp's Gallbladder Help Forum. This forum is for help, questions and support regarding Gallbladder
1209	Chronic Fatigue Syndrome Help	None	MedHelp's Chronic Fatigue Syndrome Help Forum. This forum is for help, questions and support regarding Chronic Fatigue Syndrome
120	Thyroid Cancer/Nodules & Hyperthyroidism Help	Goiter, Graves Disease, Human Growth Hormone, Hyperthyroid,  Metabolism Problems, Pituitary Gland Problems, Thyroid Cancers, Tests, Thyroiditis, Thyroid Stimulating Hormone (TSH), Thyroid, MedHelp, Forum, Community	MedHelp's Thyroid Cancer/Nodules & Hyperthyroidism Help Forum. This forum is for help, questions and support regarding Thyroid Cancer/Nodules & Hyperthyroidism
1211	Hemorrhoids Help	None	MedHelp's Hemorrhoids Help Forum. This forum is for help, questions and support regarding Hemorrhoids
1212	Sinus Infections/Disorders Help	None	MedHelp's Sinus Infections/Disorders Help Forum. This forum is for help, questions and support regarding Sinus Infections/Disorders
1213	Gout Help	None	MedHelp's Gout Help Forum. This forum is for help, questions and support regarding Gout
1214	Burns Help	None	MedHelp's Burns Help Forum. This forum is for help, questions and support regarding Burns
1215	Cholesterol Help	None	MedHelp's Cholesterol Help Forum. This forum is for help, questions and support regarding Cholesterol
1216	Carpal Tunnel Syndrome Help	None	MedHelp's Carpal Tunnel Syndrome Help Forum. This forum is for help, questions and support regarding Carpal Tunnel Syndrome
1218	Cord Blood Help	None	MedHelp's Cord Blood Help Forum. This forum is for help, questions and support regarding Cord Blood
1219	Cystic Fibrosis Help	None	MedHelp's Cystic Fibrosis Help Forum. This forum is for help, questions and support regarding Cystic Fibrosis
1220	Deep Vein Thrombosis Help	None	MedHelp's Deep Vein Thrombosis Help Forum. This forum is for help, questions and support regarding Deep Vein Thrombosis
1221	Emphysema Help	None	MedHelp's Emphysema Help Forum. This forum is for help, questions and support regarding Emphysema
1222	High Blood Pressure / Hypertension Help	None	MedHelp's High Blood Pressure / Hypertension Help Forum. This forum is for help, questions and support regarding High Blood Pressure / Hypertension
1223	Muscular Dystrophy Help	None	MedHelp's Muscular Dystrophy Help Forum. This forum is for help, questions and support regarding Muscular Dystrophy
1224	Osteoporosis Help	None	MedHelp's Osteoporosis Help Forum. This forum is for help, questions and support regarding Osteoporosis
1225	Phobias Help	None	MedHelp's Phobias Help Forum. This forum is for help, questions and support regarding Phobias
1226	Restless Leg Syndrome Help	None	MedHelp's Restless Leg Syndrome Help Forum. This forum is for help, questions and support regarding Restless Leg Syndrome
1227	Spinal Cord Conditions/Disorders Help	None	MedHelp's Spinal Cord Conditions/Disorders Help Forum. This forum is for help, questions and support regarding Spinal Cord Conditions/Disorders
1232	Addiction: Alcohol/Drug Rehab Help	None	MedHelp's Addiction: Alcohol/Drug Rehab Help Forum. This forum is for help, questions and support regarding Addiction: Alcohol/Drug Rehab
123	Migraines & Headaches Help	abdominal migraines, headaches caused by allergies, cluster headaches, headaches, headaches in children, migraine headaches,  sinus headaches, tension headaches, visual disturbances, migraines, headaches, MedHelp, Forum	MedHelp's Migraines & Headaches Help Forum. This forum is for help, questions and support regarding Migraines & Headaches
124	Erectile Dysfunction Help	ED, ED Drugs, Erectile Dysfunction, impotence, nerve damage, penile pumps, Peyronieâs Disease,  psychological, questions to ask your doctor about ED, stress, surgery, treatments for ED, MedHelp, Forums, Ask a Doctor, Communities, Viagra, Cialis	MedHelp's Erectile Dysfunction Help Forum. This forum is for help, questions and support regarding Erectile Dysfunction
1252	Hypertension / High Blood Pressure Help	None	MedHelp's Hypertension / High Blood Pressure Help Forum. This forum is for help, questions and support regarding Hypertension / High Blood Pressure
1259	Depression: Support For Families  Help	Depression, anxiety, manic, dealing, postpartum, symptoms, help, medication, treatments, depression counseling, sleep problems, MedHelp, support, Forum, community	MedHelp's Depression: Support For Families  Help Forum. This forum is for help, questions and support regarding Depression: Support For Families
1265	General Surgery Help	Abdomen, Breast, Chest, Complications, Extremities, Head, Neck, Hematology, Incisions, Infections, Laparoscopy, Lungs,  Respiratory Tract, OBGYN, Oncology, Post Operative Management, Pre Operative Issues, Radiology Renal, Skin and Wounds, Sutures, Staples	MedHelp's General Surgery Help Forum. This forum is for help, questions and support regarding General Surgery
