group_id_text	group_name	group_type	group_keyword	group_members	group_description
the_chronic_pain_couch	The Chronic Pain Couch	Public	 Pain 	628	This is a great site for anyone suffering from Chronic Pain or has a Family Member who suffers. A place where you can tell your story, come for comfort or just want to sit a while.Chronic Pain is debilitating and relentless. It is not prejudice in any way, shape, or form. It can strike without warning and stay for life.The Chronic Pain Couch is a place designed for your comfort. I truly hope that you will come and join us. And there is never a need to worry whether or not your post is heard, we always hear and respond...... We are always here for you.  No Pain, Is Our Aim and Together We CAN Make A Difference in each others lives and how we manage to cope from day to day!Warmest regards,Molly-(Founder of Forum)
prayer_group	Prayer Group	Public	 MedHelp General 	269	I have always thought this place needed a prayer forum. Everyone on this site has rough days from time to time or even all of the time and prayer seems to help me get through my roughest days. Since MedHelp no longer allows religious discussions, that doesn't mean we can't pray for each other and our loved ones. Post your prayers and let the healing begin!
methadone_community	Methadone Community	Public	 Pain 	115	Those who have pain and have to live with it daily. No matter what reason you are on methadone for your welcome here. A place where others can talk and feel they are not alone.
vertigo	VERTIGO	Public	 Neurology 	31	VERTIGO can cause a variety of symptoms.......Vertigo is a treatable condition without the use of drugs.  I am not a physician. I speak only from experience.Some symptoms are: dizzy, vomiting, tiredness, weakness, poor cognition and more.After ruling out other serious conditions, see an ENT specialist.  He/she can diagnose Vertigo in seconds..........He/she can treat Vertigo in minutes with one maneuver called Epley.  There are other maneuvers......this worked for me. Experiencing Vertigo is scary and debilitating. What better than a cure with no pills and only takes minutes?
ttc_over_40	TTC Over 40	Public	 Pregnancy 	387	support group for women who are trying to conceive or have conceived a child over the age of forty
surviving_neurological_limbo_land___no_dx	SURVIVING NEUROLOGICAL LIMBO LAND - NO DX	Public	 Neurology 	498	This is a group for anyone who is currently living in limbo land with a neurological disorder but doesn't have a diagnosis. Many people are living with chronic and disabling neurological problems which mirror such diseases as multiple sclerosis, lupus, M.E., Fibromyalgia, Lymes disease, Vitimin D deficiency, Migraines, Parkinsons yet have no diagnosis and are left to literally struggle on alone.I have set up this group to help support people through their journey, whether its just for a moan, sharing a joke, experiences, advise on how to survive just plain anything.I know there are a lot of us out there.Anyone who feels lost, or needs to share or just wants a big hug please join, there will always be someone to give you support.OUR MOTTO IS:"we are still all in this together..no matter what point of our journey we are in...limbo, dx. or just joining...we are all here for a reason...to seek support, make a friend and find answers..."
mirena_iud_side_effects_support	Mirena IUD Side Effects Support	Public	 Women's Health 	80	A help site for women who have had mirena side effects,lots of mirena horror stories,advice,imformation,help.
hiv_anxiety_support	HIV Anxiety Support	Public	 HIV/STDs 	1069	This support group is for those who are suffering from stress or anxiety associated with uncertain HIV status. HIV anxiety is extremely isolating for those who are going through it, as it is often very difficult to discuss with friends and family members. This group is provided for sufferers of HIV anxiety to discuss their fears in a supportive environment. Those with anxiety over non-HIV STDs are also welcome. For personal advice concerning HIV risk, testing, and prevention, please post in the HIV Prevention Community.
current_events______	Current Events . . .	Public	 MedHelp General 	207	This is a place where we can discuss current events - what happens around the world and is reported in the news.  Healthy debates and discussions regarding issues we feel strongly about will be allowed; however, personal attacks will not be tolerated, nor will threads and/or comments that are argumentative, combative, or offensive. You *must* post a link to your source, or indicate if you heard it on TV, read a magazine/newspaper article, and indicate what radio/TV station, magazine/newspaper or your thread will be deleted. Remember, this is "Current Events", not "Current Arguments".
all_about_tv_shows_and_movies	All about TV Shows and Movies	Public	 MedHelp General 	33	A group to chat about any TV shows and/or Movies.
addiction_recovery_group	ADDICTION RECOVERY GROUP	Public	 Addiction 	230	You have gone threw withdrawl and you are  off  ALL of drugs now.Here comes that hard part staying clean .Long term recovery is hard and takes continous work and support .Learning and dealing with PAWS.Learning what trigger set us off .This is all sort of thing we will dicuss in the group .Avis
granulomatous_mastitis	granulomatous mastitis	Public	 MedHelp General 	166	This group is intended as a meeting place and forum for those who have been diagnosed with granulomatous mastitis ('GM') or idiopathic granulomatous mastitis ('IGM').I think one of the greatest challenges with this disease is its rarity and the associated lack of understanding in the medical community.But we can share here - and hopefully make the healing process a little easier for each other.
